id	round	user	decision	Market	result	Use of expert	Expert's guess	information_consulted	Key	Gender (1=f/0=m)	experiment	Mean 5 days	Mean all previous days	Age range
1	1	3	-1	-1	1	1	-1	5	001101--	0	2I	0	0	re1
2	2	3	-1	1	-1	0	-1	1	010000--	0	2I	0	0	re1
3	3	3	1	1	1	1	-1	5	111101--	0	2I	0	0	re1
4	4	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
5	5	3	1	1	1	1	1	3	111111--	0	2I	0	0	re1
6	6	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
7	7	3	1	-1	-1	1	1	5	100111--	0	2I	0	0	re1
8	8	3	-1	-1	1	1	-1	4	001101--	0	2I	0	0	re1
9	9	3	1	-1	-1	1	1	5	100111--	0	2I	0	0	re1
10	10	3	1	1	1	1	1	5	111111--	0	2I	0	0	re1
11	11	3	1	1	1	1	-1	5	111101--	0	2I	0	0	re1
12	12	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
13	13	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
14	14	3	1	1	1	1	1	5	111111--	0	2I	0	0	re1
15	15	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
16	16	3	-1	1	-1	1	1	4	010111--	0	2I	0	0	re1
17	17	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
18	18	3	-1	-1	1	1	-1	5	001101--	0	2I	0	0	re1
19	19	3	1	1	1	1	1	5	111111--	0	2I	0	0	re1
20	20	3	1	1	1	1	-1	5	111101--	0	2I	0	0	re1
21	21	3	1	1	1	1	-1	5	111101--	0	2I	0	0	re1
22	22	3	1	1	1	0	-1	1	111000--	0	2I	0	0	re1
23	23	3	1	1	1	1	1	5	111111--	0	2I	0	0	re1
24	24	3	-1	1	-1	1	1	4	010111--	0	2I	0	0	re1
25	25	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
26	1	5	-1	-1	1	0	1	1	001010--	1	1I	0	0	re0
27	2	5	-1	-1	1	0	1	1	001010--	1	1I	0	0	re0
28	3	5	1	-1	-1	0	-1	1	100000--	1	1I	0	0	re0
29	4	5	-1	1	-1	0	1	1	010010--	1	1I	0	0	re0
30	5	5	1	-1	-1	0	1	1	100010--	1	1I	0	0	re0
31	6	5	-1	1	-1	0	1	1	010010--	1	1I	0	0	re0
32	7	5	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
33	8	5	1	1	1	0	1	1	111010--	1	1I	0	0	re0
34	9	5	-1	-1	1	0	-1	1	001000--	1	1I	0	0	re0
35	10	5	-1	-1	1	0	-1	1	001000--	1	1I	0	0	re0
36	11	5	-1	-1	1	0	-1	1	001000--	1	1I	0	0	re0
37	12	5	-1	-1	1	0	-1	1	001000--	1	1I	0	0	re0
38	13	5	-1	-1	1	0	1	1	001010-0	1	1I	0	-1	re0
39	14	5	1	-1	-1	0	1	1	100010-0	1	1I	0	-1	re0
40	15	5	-1	-1	1	0	-1	1	001000-0	1	1I	0	-1	re0
41	16	5	-1	1	-1	0	1	1	010010-0	1	1I	0	-1	re0
42	17	5	-1	1	-1	0	-1	1	010000-0	1	1I	0	-1	re0
43	18	5	1	-1	-1	0	-1	1	100000-0	1	1I	0	-1	re0
44	19	5	-1	1	-1	0	1	1	010010-0	1	1I	0	-1	re0
45	20	5	1	-1	-1	0	-1	1	100000-0	1	1I	0	-1	re0
46	21	5	-1	-1	1	0	-1	1	001000-0	1	1I	0	-1	re0
47	22	5	1	-1	-1	0	-1	1	100000-0	1	1I	0	-1	re0
48	23	5	-1	-1	1	0	1	1	001010-0	1	1I	0	-1	re0
49	24	5	1	-1	-1	0	1	1	100010-0	1	1I	0	-1	re0
50	25	5	1	1	1	0	1	1	111010-0	1	1I	0	-1	re0
51	1	5	-1	1	-1	0	-1	1	010000--	1	2I	0	0	re0
52	2	5	1	-1	-1	0	1	1	100010--	1	2I	0	0	re0
53	3	5	1	1	1	0	1	1	111010--	1	2I	0	0	re0
54	4	5	-1	-1	1	0	1	1	001010--	1	2I	0	0	re0
55	5	5	-1	1	-1	0	-1	1	010000--	1	2I	0	0	re0
56	6	5	1	1	1	0	-1	1	111000--	1	2I	0	0	re0
57	7	5	-1	-1	1	0	1	1	001010--	1	2I	0	0	re0
58	8	5	-1	-1	1	0	1	1	001010--	1	2I	0	0	re0
59	9	5	1	-1	-1	0	1	1	100010--	1	2I	0	0	re0
60	10	5	-1	1	-1	0	1	1	010010--	1	2I	0	0	re0
61	11	5	1	1	1	0	-1	1	111000--	1	2I	0	0	re0
62	12	5	1	1	1	0	1	1	111010--	1	2I	0	0	re0
63	13	5	-1	-1	1	0	-1	1	001000--	1	2I	0	0	re0
64	14	5	-1	-1	1	0	1	1	001010--	1	2I	0	0	re0
65	15	5	1	1	1	0	-1	1	111000--	1	2I	0	0	re0
66	16	5	1	1	1	0	1	1	111010--	1	2I	0	0	re0
67	17	5	-1	-1	1	0	1	1	001010--	1	2I	0	0	re0
68	18	5	1	-1	-1	0	1	1	100010--	1	2I	0	0	re0
69	19	5	-1	1	-1	0	1	1	010010--	1	2I	0	0	re0
70	20	5	-1	-1	1	0	1	1	001010--	1	2I	0	0	re0
71	21	5	-1	-1	1	0	-1	1	001000--	1	2I	0	0	re0
72	22	5	-1	1	-1	0	-1	1	010000--	1	2I	0	0	re0
73	23	5	1	1	1	0	-1	1	111000--	1	2I	0	0	re0
74	24	5	1	-1	-1	0	1	1	100010--	1	2I	0	0	re0
75	25	5	-1	-1	1	0	-1	1	001000--	1	2I	0	0	re0
76	1	5	-1	-1	1	0	-1	2	001000--	1	3I	0	0	re0
77	2	5	-1	1	-1	1	-1	2	010100--	1	3I	0	0	re0
78	3	5	1	1	1	1	-1	2	111100--	1	3I	0	0	re0
79	4	5	-1	1	-1	1	1	2	010110--	1	3I	0	0	re0
80	5	5	1	-1	-1	1	1	2	100110--	1	3I	0	0	re0
81	6	5	-1	-1	1	1	-1	2	001100--	1	3I	0	0	re0
82	7	5	1	-1	-1	1	-1	2	100100--	1	3I	0	0	re0
83	8	5	1	1	1	1	1	2	111110--	1	3I	0	0	re0
84	9	5	1	1	1	1	1	2	111110--	1	3I	0	0	re0
85	10	5	1	1	1	1	-1	2	111100--	1	3I	0	0	re0
86	11	5	1	1	1	1	1	2	111110--	1	3I	0	0	re0
87	12	5	-1	1	-1	1	-1	2	010100--	1	3I	0	0	re0
88	13	5	1	-1	-1	1	-1	2	100100--	1	3I	0	0	re0
89	14	5	-1	-1	1	1	-1	2	001100--	1	3I	0	0	re0
90	15	5	-1	-1	1	1	-1	2	001100--	1	3I	0	0	re0
91	16	5	1	-1	-1	1	-1	2	100100--	1	3I	0	0	re0
92	17	5	-1	-1	1	1	-1	2	001100--	1	3I	0	0	re0
93	18	5	1	1	1	1	1	2	111110--	1	3I	0	0	re0
94	19	5	1	-1	-1	1	1	2	100110--	1	3I	0	0	re0
95	20	5	-1	-1	1	1	1	2	001110--	1	3I	0	0	re0
96	21	5	1	-1	-1	1	-1	2	100100--	1	3I	0	0	re0
97	22	5	1	1	1	1	-1	2	111100--	1	3I	0	0	re0
98	23	5	-1	-1	1	1	-1	2	001100--	1	3I	0	0	re0
99	24	5	1	1	1	1	1	2	111110--	1	3I	0	0	re0
100	25	5	1	1	1	1	1	2	111110--	1	3I	0	0	re0
101	1	6	1	-1	-1	0	1	1	100010--	1	1I	0	0	re0
102	2	6	-1	-1	1	0	-1	1	001000--	1	1I	0	0	re0
103	3	6	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
104	4	6	-1	1	-1	0	-1	1	010000--	1	1I	0	0	re0
105	5	6	1	1	1	0	1	1	111010--	1	1I	0	0	re0
106	6	6	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
107	7	6	-1	-1	1	0	1	1	001010--	1	1I	0	0	re0
108	8	6	-1	-1	1	0	1	1	001010--	1	1I	0	0	re0
109	9	6	1	-1	-1	0	-1	1	100000--	1	1I	0	0	re0
110	10	6	-1	1	-1	0	-1	1	010000--	1	1I	0	0	re0
111	11	6	1	-1	-1	0	1	1	100010--	1	1I	0	0	re0
112	12	6	-1	1	-1	0	-1	1	010000--	1	1I	0	0	re0
113	13	6	1	1	1	0	1	1	111010--	1	1I	0	0	re0
114	14	6	-1	1	-1	0	-1	1	010000--	1	1I	0	0	re0
115	15	6	1	1	1	0	1	1	111010--	1	1I	0	0	re0
116	16	6	1	1	1	0	1	1	111010--	1	1I	0	0	re0
117	17	6	-1	-1	1	0	-1	1	001000--	1	1I	0	0	re0
118	18	6	-1	1	-1	0	1	1	010010--	1	1I	0	0	re0
119	19	6	1	-1	-1	0	-1	1	100000--	1	1I	0	0	re0
120	20	6	1	1	1	0	1	1	111010--	1	1I	0	0	re0
121	21	6	-1	1	-1	0	1	1	010010--	1	1I	0	0	re0
122	22	6	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
123	23	6	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
124	24	6	1	1	1	0	1	1	111010-1	1	1I	0	1	re0
125	25	6	1	1	1	0	1	1	111010-1	1	1I	0	1	re0
126	1	6	-1	1	-1	0	-1	1	010000--	1	2I	0	0	re0
127	2	6	1	-1	-1	0	-1	3	100001--	1	2I	0	0	re0
128	3	6	-1	1	-1	0	-1	1	010000--	1	2I	0	0	re0
129	4	6	1	1	1	0	1	1	111010--	1	2I	0	0	re0
130	5	6	1	1	1	0	1	1	111010--	1	2I	0	0	re0
131	6	6	-1	1	-1	0	-1	1	010000--	1	2I	0	0	re0
132	7	6	1	-1	-1	0	-1	1	100000--	1	2I	0	0	re0
133	8	6	1	1	1	0	1	1	111010--	1	2I	0	0	re0
134	9	6	1	1	1	0	-1	1	111000--	1	2I	0	0	re0
135	10	6	1	-1	-1	0	-1	1	100000--	1	2I	0	0	re0
136	11	6	-1	-1	1	0	-1	1	001000--	1	2I	0	0	re0
137	12	6	1	1	1	0	1	1	111010--	1	2I	0	0	re0
138	13	6	-1	1	-1	0	-1	1	010000--	1	2I	0	0	re0
139	14	6	1	-1	-1	0	1	1	100010--	1	2I	0	0	re0
140	15	6	-1	-1	1	0	1	1	001010--	1	2I	0	0	re0
141	16	6	-1	-1	1	0	-1	1	001000--	1	2I	0	0	re0
142	17	6	-1	1	-1	0	-1	1	010000--	1	2I	0	0	re0
143	18	6	1	-1	-1	0	-1	1	100000--	1	2I	0	0	re0
144	19	6	-1	-1	1	0	-1	1	001000--	1	2I	0	0	re0
145	20	6	1	1	1	0	1	1	111010--	1	2I	0	0	re0
146	21	6	-1	-1	1	0	-1	1	001000--	1	2I	0	0	re0
147	22	6	-1	-1	1	0	1	1	001010--	1	2I	0	0	re0
148	23	6	-1	-1	1	0	1	1	001010--	1	2I	0	0	re0
149	24	6	-1	1	-1	0	-1	1	010000--	1	2I	0	0	re0
150	25	6	1	-1	-1	0	-1	1	100000--	1	2I	0	0	re0
151	1	6	1	1	1	1	1	2	111110--	1	3I	0	0	re0
152	2	6	1	1	1	1	1	2	111110--	1	3I	0	0	re0
153	3	6	1	-1	-1	1	-1	2	100100--	1	3I	0	0	re0
154	4	6	-1	-1	1	1	-1	2	001100--	1	3I	0	0	re0
155	5	6	1	1	1	1	1	2	111110--	1	3I	0	0	re0
156	6	6	-1	-1	1	1	-1	2	001100--	1	3I	0	0	re0
157	7	6	-1	1	-1	1	-1	2	010100--	1	3I	0	0	re0
158	8	6	1	1	1	1	1	2	111110--	1	3I	0	0	re0
159	9	6	1	1	1	1	1	2	111110--	1	3I	0	0	re0
160	10	6	-1	-1	1	1	1	2	001110--	1	3I	0	0	re0
161	11	6	-1	-1	1	1	-1	2	001100--	1	3I	0	0	re0
162	12	6	-1	1	-1	1	-1	2	010100--	1	3I	0	0	re0
163	13	6	-1	-1	1	1	-1	2	001100--	1	3I	0	0	re0
164	14	6	1	-1	-1	1	1	2	100110--	1	3I	0	0	re0
165	15	6	-1	-1	1	1	-1	2	001100--	1	3I	0	0	re0
166	16	6	1	-1	-1	0	-1	1	100000--	1	3I	0	0	re0
167	17	6	1	1	1	0	1	1	111010--	1	3I	0	0	re0
168	18	6	-1	-1	1	0	-1	1	001000--	1	3I	0	0	re0
169	19	6	1	-1	-1	0	1	1	100010--	1	3I	0	0	re0
170	20	6	-1	-1	1	0	-1	1	001000--	1	3I	0	0	re0
171	21	6	1	-1	-1	0	1	1	100010--	1	3I	0	0	re0
172	22	6	-1	-1	1	0	1	1	001010--	1	3I	0	0	re0
173	23	6	-1	1	-1	0	1	1	010010-0	1	3I	0	-1	re0
174	24	6	1	1	1	0	1	1	111010--	1	3I	0	0	re0
175	25	6	1	-1	-1	0	1	1	100010--	1	3I	0	0	re0
176	1	7	-1	-1	1	1	-1	5	001101--	0	1I	0	0	re0
177	2	7	1	-1	-1	0	1	1	100010--	0	1I	0	0	re0
178	3	7	-1	-1	1	0	1	1	001010--	0	1I	0	0	re0
179	4	7	-1	-1	1	0	1	1	001010--	0	1I	0	0	re0
180	5	7	-1	1	-1	0	1	1	010010--	0	1I	0	0	re0
181	6	7	1	-1	-1	0	-1	2	10000000	0	1I	-1	-1	re0
182	7	7	-1	1	-1	0	1	3	01001100	0	1I	-1	-1	re0
183	8	7	1	1	1	0	-1	2	111000--	0	1I	0	0	re0
184	9	7	1	-1	-1	0	-1	2	100000--	0	1I	0	0	re0
185	10	7	-1	1	-1	0	-1	3	010001-0	0	1I	0	-1	re0
186	11	7	1	-1	-1	0	-1	1	100000--	0	1I	0	0	re0
187	12	7	1	1	1	1	1	4	1111111-	0	1I	1	0	re0
188	13	7	1	1	1	1	1	2	111110--	0	1I	0	0	re0
189	14	7	1	1	1	1	1	2	111110--	0	1I	0	0	re0
190	15	7	-1	-1	1	1	-1	2	001100--	0	1I	0	0	re0
191	16	7	-1	1	-1	1	-1	2	010100-0	0	1I	0	-1	re0
192	17	7	1	-1	-1	1	1	2	100110--	0	1I	0	0	re0
193	18	7	-1	1	-1	1	1	2	010110-0	0	1I	0	-1	re0
194	19	7	-1	-1	1	1	-1	2	001100-0	0	1I	0	-1	re0
195	20	7	1	1	1	1	1	2	111110-0	0	1I	0	-1	re0
196	21	7	-1	1	-1	1	-1	2	010100--	0	1I	0	0	re0
197	22	7	1	1	1	1	1	2	111110--	0	1I	0	0	re0
198	23	7	1	-1	-1	1	1	2	100110--	0	1I	0	0	re0
199	24	7	1	1	1	1	1	2	111110--	0	1I	0	0	re0
200	25	7	-1	-1	1	1	-1	2	001100--	0	1I	0	0	re0
201	1	7	1	1	1	1	1	5	111111--	0	2I	0	0	re0
202	2	7	1	1	1	1	1	3	111111--	0	2I	0	0	re0
203	3	7	-1	1	-1	0	-1	3	010001--	0	2I	0	0	re0
204	4	7	1	1	1	0	1	3	111011--	0	2I	0	0	re0
205	5	7	-1	-1	1	0	-1	2	001000--	0	2I	0	0	re0
206	6	7	1	1	1	0	1	3	111011--	0	2I	0	0	re0
207	7	7	1	-1	-1	0	-1	2	100000--	0	2I	0	0	re0
208	8	7	-1	1	-1	0	1	2	010010--	0	2I	0	0	re0
209	9	7	-1	-1	1	1	-1	3	001101--	0	2I	0	0	re0
210	10	7	-1	1	-1	1	-1	3	010101--	0	2I	0	0	re0
211	11	7	1	-1	-1	1	-1	3	100101--	0	2I	0	0	re0
212	12	7	-1	1	-1	1	-1	3	010101--	0	2I	0	0	re0
213	13	7	1	1	1	0	-1	3	111001--	0	2I	0	0	re0
214	14	7	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re0
215	15	7	-1	1	-1	1	-1	4	010101--	0	2I	0	0	re0
216	16	7	-1	1	-1	0	-1	2	010000--	0	2I	0	0	re0
217	17	7	1	-1	-1	0	-1	3	100001--	0	2I	0	0	re0
218	18	7	1	1	1	0	1	2	111010--	0	2I	0	0	re0
219	19	7	1	1	1	0	-1	3	111001--	0	2I	0	0	re0
220	20	7	1	-1	-1	1	-1	4	100101--	0	2I	0	0	re0
221	21	7	1	1	1	0	1	2	111010--	0	2I	0	0	re0
222	22	7	1	1	1	0	1	2	111010-1	0	2I	0	1	re0
223	23	7	-1	-1	1	0	-1	2	001000-1	0	2I	0	1	re0
224	24	7	1	-1	-1	0	-1	2	100000-1	0	2I	0	1	re0
225	25	7	1	-1	-1	0	1	2	100010-1	0	2I	0	1	re0
226	1	7	1	1	1	0	1	2	111010--	0	3C	0	0	re0
227	2	7	1	-1	-1	0	-1	2	100000--	0	3C	0	0	re0
228	3	7	-1	-1	1	0	1	2	001010--	0	3C	0	0	re0
229	4	7	1	1	1	0	1	1	111010--	0	3C	0	0	re0
230	5	7	-1	-1	1	0	-1	1	001000--	0	3C	0	0	re0
231	6	7	-1	-1	1	0	-1	1	001000--	0	3C	0	0	re0
232	7	7	1	1	1	0	1	1	111010--	0	3C	0	0	re0
233	8	7	-1	-1	1	0	-1	1	001000--	0	3C	0	0	re0
234	9	7	-1	1	-1	0	1	1	010010--	0	3C	0	0	re0
235	10	7	1	-1	-1	0	-1	1	100000--	0	3C	0	0	re0
236	11	7	1	-1	-1	0	1	1	100010--	0	3C	0	0	re0
237	12	7	1	-1	-1	0	-1	1	100000--	0	3C	0	0	re0
238	13	7	-1	-1	1	0	1	1	001010--	0	3C	0	0	re0
239	14	7	1	-1	-1	0	1	1	100010--	0	3C	0	0	re0
240	15	7	-1	1	-1	0	-1	1	01000000	0	3C	-1	-1	re0
241	16	7	-1	1	-1	0	1	1	010010-0	0	3C	0	-1	re0
242	17	7	-1	1	-1	0	1	1	010010-0	0	3C	0	-1	re0
243	18	7	1	1	1	0	-1	1	111000--	0	3C	0	0	re0
244	19	7	1	-1	-1	0	-1	1	100000--	0	3C	0	0	re0
245	20	7	1	-1	-1	0	1	1	100010--	0	3C	0	0	re0
246	21	7	-1	-1	1	0	-1	1	001000--	0	3C	0	0	re0
247	22	7	-1	1	-1	0	1	1	010010-0	0	3C	0	-1	re0
248	23	7	1	1	1	0	-1	1	111000--	0	3C	0	0	re0
249	24	7	1	1	1	0	1	1	111010--	0	3C	0	0	re0
250	25	7	1	1	1	0	-1	1	111000--	0	3C	0	0	re0
277	2	8	1	1	1	0	-1	2	111000--	0	1I	0	0	re3
278	3	8	-1	1	-1	0	-1	2	010000--	0	1I	0	0	re3
279	4	8	1	1	1	0	-1	2	111000--	0	1I	0	0	re3
280	5	8	1	1	1	0	1	3	111011--	0	1I	0	0	re3
281	6	8	1	1	1	0	-1	1	111000--	0	1I	0	0	re3
282	7	8	1	-1	-1	0	1	3	100011--	0	1I	0	0	re3
283	8	8	1	-1	-1	0	-1	3	100001--	0	1I	0	0	re3
284	9	8	-1	-1	1	0	1	3	001011--	0	1I	0	0	re3
285	10	8	1	1	1	0	1	3	111011--	0	1I	0	0	re3
286	11	8	1	1	1	0	-1	3	111001--	0	1I	0	0	re3
287	12	8	-1	1	-1	0	-1	3	010001--	0	1I	0	0	re3
288	13	8	1	1	1	0	-1	3	111001--	0	1I	0	0	re3
289	14	8	-1	1	-1	0	1	3	010011--	0	1I	0	0	re3
290	15	8	1	1	1	0	-1	1	111000--	0	1I	0	0	re3
291	16	8	1	1	1	0	1	1	111010--	0	1I	0	0	re3
292	17	8	1	1	1	0	-1	3	111001--	0	1I	0	0	re3
293	18	8	1	-1	-1	0	-1	2	100000--	0	1I	0	0	re3
294	19	8	-1	1	-1	0	1	1	010010--	0	1I	0	0	re3
295	20	8	-1	1	-1	0	-1	2	010000--	0	1I	0	0	re3
296	21	8	1	1	1	0	-1	1	111000--	0	1I	0	0	re3
297	22	8	1	1	1	0	-1	1	111000--	0	1I	0	0	re3
298	23	8	1	1	1	0	1	1	111010--	0	1I	0	0	re3
299	24	8	1	1	1	0	1	1	111010--	0	1I	0	0	re3
300	25	8	1	1	1	0	-1	1	111000--	0	1I	0	0	re3
301	1	8	1	1	1	1	1	3	111111--	0	2I	0	0	re3
302	2	8	-1	1	1	1	1	2	111110--	0	2I	0	0	re3
303	3	8	1	-1	-1	1	-1	3	100101--	0	2I	0	0	re3
304	4	8	-1	-1	1	1	-1	4	001101--	0	2I	0	0	re3
305	5	8	1	1	1	1	1	2	111110--	0	2I	0	0	re3
306	6	8	1	-1	-1	0	-1	4	100001--	0	2I	0	0	re3
307	7	8	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re3
308	8	8	1	1	1	0	1	2	111010--	0	2I	0	0	re3
309	9	8	1	1	1	1	1	3	111111--	0	2I	0	0	re3
310	10	8	1	-1	-1	1	1	5	100111--	0	2I	0	0	re3
311	11	8	-1	-1	1	0	-1	3	001001--	0	2I	0	0	re3
312	12	8	1	1	1	0	-1	1	111000--	0	2I	0	0	re3
313	13	8	1	-1	-1	1	-1	3	100101--	0	2I	0	0	re3
314	14	8	-1	-1	1	0	1	1	001010--	0	2I	0	0	re3
315	15	8	-1	-1	1	1	-1	5	001101--	0	2I	0	0	re3
316	16	8	-1	-1	1	1	-1	3	001101--	0	2I	0	0	re3
317	17	8	1	1	1	0	1	3	111011--	0	2I	0	0	re3
318	18	8	-1	-1	1	1	-1	4	001101--	0	2I	0	0	re3
319	19	8	1	-1	-1	1	1	5	100111--	0	2I	0	0	re3
320	20	8	-1	-1	1	1	-1	6	001101--	0	2I	0	0	re3
321	21	8	-1	-1	1	1	1	6	001111--	0	2I	0	0	re3
322	22	8	-1	-1	1	1	1	6	001111--	0	2I	0	0	re3
323	23	8	-1	1	-1	1	1	6	010111-0	0	2I	0	-1	re3
324	24	8	1	1	1	1	1	5	111111--	0	2I	0	0	re3
325	25	8	1	-1	-1	0	1	3	100011--	0	2I	0	0	re3
326	1	8	1	1	1	0	1	2	111010--	0	3I	0	0	re3
327	2	8	-1	1	-1	0	1	2	010010--	0	3I	0	0	re3
328	3	8	-1	-1	1	0	-1	2	001000--	0	3I	0	0	re3
329	4	8	1	1	1	0	1	2	111010--	0	3I	0	0	re3
330	5	8	1	1	1	0	1	2	111010--	0	3I	0	0	re3
331	6	8	1	1	1	0	-1	2	111000--	0	3I	0	0	re3
332	7	8	1	1	1	0	1	2	111010--	0	3I	0	0	re3
333	8	8	1	-1	-1	0	-1	2	100000--	0	3I	0	0	re3
334	9	8	1	-1	-1	0	-1	2	100000--	0	3I	0	0	re3
335	10	8	1	1	1	0	1	2	111010--	0	3I	0	0	re3
336	11	8	-1	1	-1	1	-1	2	010100--	0	3I	0	0	re3
337	12	8	1	-1	-1	0	-1	2	100000--	0	3I	0	0	re3
338	13	8	-1	-1	1	0	-1	2	001000--	0	3I	0	0	re3
339	14	8	-1	1	-1	0	-1	2	010000--	0	3I	0	0	re3
340	15	8	1	-1	-1	0	1	2	100010--	0	3I	0	0	re3
341	16	8	-1	1	-1	0	1	2	010010--	0	3I	0	0	re3
342	17	8	-1	1	-1	0	1	2	010010--	0	3I	0	0	re3
343	18	8	1	1	1	0	1	2	111010--	0	3I	0	0	re3
344	19	8	1	1	1	0	1	2	111010--	0	3I	0	0	re3
345	20	8	1	1	1	0	1	2	111010--	0	3I	0	0	re3
346	21	8	1	-1	-1	0	-1	2	100000--	0	3I	0	0	re3
347	22	8	-1	-1	1	0	1	2	001010--	0	3I	0	0	re3
348	23	8	-1	1	-1	0	-1	2	010000--	0	3I	0	0	re3
349	24	8	1	-1	-1	0	1	2	100010--	0	3I	0	0	re3
350	25	8	-1	-1	1	0	1	1	001010--	0	3I	0	0	re3
376	1	9	-1	1	-1	0	1	1	010010--	1	1I	0	0	re0
377	2	9	1	1	1	0	1	1	111010--	1	1I	0	0	re0
378	3	9	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
379	4	9	1	1	1	0	1	1	111010--	1	1I	0	0	re0
380	5	9	1	-1	-1	0	-1	1	100000--	1	1I	0	0	re0
381	6	9	-1	1	-1	0	1	1	010010--	1	1I	0	0	re0
382	7	9	1	-1	-1	0	-1	1	100000--	1	1I	0	0	re0
383	8	9	-1	1	-1	0	1	1	010010--	1	1I	0	0	re0
384	9	9	1	-1	-1	0	-1	1	100000--	1	1I	0	0	re0
385	10	9	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
386	11	9	1	-1	-1	0	-1	1	100000--	1	1I	0	0	re0
387	12	9	-1	1	-1	0	-1	1	010000--	1	1I	0	0	re0
388	13	9	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
389	14	9	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
390	15	9	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
391	16	9	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
392	17	9	1	-1	-1	0	-1	1	100000--	1	1I	0	0	re0
393	18	9	-1	1	-1	0	1	1	010010--	1	1I	0	0	re0
394	19	9	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
395	20	9	1	-1	-1	0	-1	1	100000--	1	1I	0	0	re0
396	21	9	-1	1	-1	0	1	1	010010--	1	1I	0	0	re0
397	22	9	1	1	1	0	1	1	111010-1	1	1I	0	1	re0
398	23	9	1	-1	-1	0	-1	1	100000-1	1	1I	0	1	re0
399	24	9	-1	-1	1	0	-1	1	001000-1	1	1I	0	1	re0
400	25	9	-1	-1	1	0	1	1	001010-1	1	1I	0	1	re0
401	1	9	-1	1	-1	0	-1	3	010001--	1	2I	0	0	re0
402	2	9	-1	-1	1	0	1	1	001010--	1	2I	0	0	re0
403	3	9	-1	-1	1	0	-1	1	001000--	1	2I	0	0	re0
404	4	9	-1	1	-1	0	1	1	010010--	1	2I	0	0	re0
405	5	9	1	-1	-1	0	1	1	100010--	1	2I	0	0	re0
406	6	9	-1	-1	1	0	-1	1	001000--	1	2I	0	0	re0
407	7	9	-1	1	-1	0	1	1	010010--	1	2I	0	0	re0
408	8	9	1	1	1	0	-1	1	111000--	1	2I	0	0	re0
409	9	9	1	1	1	0	1	1	111010--	1	2I	0	0	re0
410	10	9	1	1	1	0	-1	1	111000--	1	2I	0	0	re0
411	11	9	1	-1	-1	0	1	1	100010--	1	2I	0	0	re0
412	12	9	-1	-1	1	0	1	1	001010--	1	2I	0	0	re0
413	13	9	-1	1	-1	0	-1	1	010000--	1	2I	0	0	re0
414	14	9	1	1	1	0	1	1	111010--	1	2I	0	0	re0
415	15	9	1	1	1	0	1	3	111011--	1	2I	0	0	re0
416	16	9	1	-1	-1	0	-1	3	100001--	1	2I	0	0	re0
417	17	9	-1	1	-1	0	-1	1	010000--	1	2I	0	0	re0
418	18	9	1	1	1	0	-1	1	111000--	1	2I	0	0	re0
419	19	9	1	-1	-1	0	-1	1	100000--	1	2I	0	0	re0
420	20	9	-1	1	-1	0	1	1	010010--	1	2I	0	0	re0
421	21	9	1	1	1	0	-1	1	111000--	1	2I	0	0	re0
422	22	9	1	1	1	0	1	1	111010--	1	2I	0	0	re0
423	23	9	1	-1	-1	0	1	1	100010--	1	2I	0	0	re0
424	24	9	-1	1	-1	0	1	1	010010--	1	2I	0	0	re0
425	25	9	1	1	1	0	1	1	111010--	1	2I	0	0	re0
426	1	9	-1	-1	1	0	1	2	001010--	1	3C	0	0	re0
427	2	9	-1	1	-1	0	1	1	010010--	1	3C	0	0	re0
428	3	9	1	1	1	0	-1	1	111000--	1	3C	0	0	re0
429	4	9	1	1	1	0	-1	2	111000--	1	3C	0	0	re0
430	5	9	1	-1	-1	0	1	1	100010--	1	3C	0	0	re0
431	6	9	-1	-1	1	0	1	1	001010--	1	3C	0	0	re0
432	7	9	-1	1	-1	0	-1	1	010000--	1	3C	0	0	re0
433	8	9	1	1	1	0	1	1	111010--	1	3C	0	0	re0
434	9	9	1	-1	-1	0	-1	1	100000--	1	3C	0	0	re0
435	10	9	-1	1	-1	0	1	1	010010--	1	3C	0	0	re0
436	11	9	1	1	1	0	-1	1	111000--	1	3C	0	0	re0
437	12	9	1	-1	-1	0	-1	1	100000--	1	3C	0	0	re0
