	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1]	54	0.2924	0.1666	0.5598	0.7491	0.2663	0.4649	56.8935	0.2032	
nMMSBM_[1]	55	0.2932	0.1545	0.5583	0.7468	0.2658	0.4644	57.0479	0.2037	
nMMSBM_[1]	56	0.2915	0.1663	0.5595	0.7463	0.2654	0.4645	56.8689	0.2031	
nMMSBM_[1]	57	0.2923	0.1544	0.5595	0.7473	0.2660	0.4645	56.9205	0.2033	
nMMSBM_[1]	58	0.2919	0.1544	0.5597	0.7485	0.2661	0.4648	56.6211	0.2022	
nMMSBM_[1]	59	0.2921	0.1545	0.5581	0.7470	0.2659	0.4641	56.9040	0.2032	
nMMSBM_[1]	60	0.2926	0.1544	0.5583	0.7487	0.2660	0.4645	56.7554	0.2027	
nMMSBM_[1]	61	0.2914	0.1665	0.5581	0.7467	0.2656	0.4647	56.7183	0.2026	
nMMSBM_[1]	62	0.2919	0.1545	0.5583	0.7468	0.2657	0.4644	56.8365	0.2030	
nMMSBM_[1]	63	0.2874	0.1665	0.5450	0.7462	0.2647	0.4607	57.4567	0.2052	
nMMSBM_[1]	64	0.2929	0.1665	0.5582	0.7467	0.2659	0.4643	56.9353	0.2033	
nMMSBM_[1]	65	0.2917	0.1666	0.5583	0.7475	0.2661	0.4643	56.8157	0.2029	
nMMSBM_[1]	66	0.2923	0.1663	0.5598	0.7484	0.2662	0.4650	56.6914	0.2025	
nMMSBM_[1]	67	0.2928	0.1545	0.5596	0.7484	0.2660	0.4646	56.9531	0.2034	
nMMSBM_[1]	68	0.2923	0.1543	0.5596	0.7489	0.2665	0.4650	56.8990	0.2032	
nMMSBM_[1]	69	0.2870	0.1664	0.5447	0.7452	0.2649	0.4604	57.3071	0.2047	
nMMSBM_[1]	70	0.2919	0.1543	0.5596	0.7485	0.2661	0.4649	56.6969	0.2025	
nMMSBM_[1]	71	0.2859	0.1543	0.5450	0.7452	0.2647	0.4609	57.3908	0.2050	
nMMSBM_[1]	72	0.2918	0.1544	0.5582	0.7486	0.2661	0.4643	56.8262	0.2030	
nMMSBM_[1]	73	0.2860	0.1663	0.5451	0.7468	0.2653	0.4607	57.1859	0.2042	
nMMSBM_[1]	74	0.2926	0.1544	0.5582	0.7481	0.2656	0.4645	56.9599	0.2034	
nMMSBM_[1]	75	0.2923	0.1544	0.5596	0.7487	0.2658	0.4645	56.8974	0.2032	
nMMSBM_[1]	76	0.2859	0.1544	0.5449	0.7449	0.2649	0.4607	57.5918	0.2057	
nMMSBM_[1]	77	0.2924	0.1663	0.5594	0.7482	0.2657	0.4645	57.1172	0.2040	
nMMSBM_[1]	78	0.2913	0.1544	0.5595	0.7473	0.2657	0.4646	56.9786	0.2035	
nMMSBM_[1]	79	0.2921	0.1666	0.5601	0.7487	0.2662	0.4651	56.6506	0.2023	
nMMSBM_[1]	80	0.2911	0.1544	0.5582	0.7473	0.2659	0.4642	56.8530	0.2030	
nMMSBM_[1]	81	0.2925	0.1545	0.5584	0.7482	0.2662	0.4644	56.9706	0.2035	
nMMSBM_[1]	82	0.2921	0.1544	0.5580	0.7481	0.2659	0.4642	56.8750	0.2031	
nMMSBM_[1]	83	0.2912	0.1543	0.5581	0.7468	0.2659	0.4642	56.8345	0.2030	
nMMSBM_[1]	84	0.2917	0.1543	0.5594	0.7477	0.2662	0.4645	56.9993	0.2036	
nMMSBM_[1]	85	0.2926	0.1544	0.5580	0.7468	0.2657	0.4639	56.7963	0.2028	
nMMSBM_[1]	86	0.2878	0.1544	0.5447	0.7455	0.2646	0.4605	57.6283	0.2058	
nMMSBM_[1]	87	0.2918	0.1545	0.5598	0.7476	0.2660	0.4648	56.6894	0.2025	
nMMSBM_[1]	88	0.2924	0.1543	0.5597	0.7483	0.2658	0.4647	56.9739	0.2035	
nMMSBM_[1]	89	0.2924	0.1666	0.5583	0.7470	0.2657	0.4644	56.7878	0.2028	
nMMSBM_[1]	90	0.2913	0.1666	0.5600	0.7485	0.2661	0.4650	56.7270	0.2026	
nMMSBM_[1]	91	0.2916	0.1545	0.5580	0.7492	0.2660	0.4642	56.9870	0.2035	
nMMSBM_[1]	92	0.2914	0.1545	0.5597	0.7481	0.2662	0.4649	56.9287	0.2033	
