	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 1]	0.3212	0.1406	0.2434	0.6265	0.2502	0.4360	3.5038	0.3504	
TF_[1, 1]	0.2546	0.0000	0.2250	0.5000	0.1521	0.4541	2.7083	0.2708	
NMF_[1, 1]	0.1823	0.0771	0.0945	0.5025	0.1554	0.2075	7.2043	0.7204	
KNN_[1, 1]	0.2474	0.1775	0.1956	0.5438	0.1664	0.3287	5.8908	0.5891	
NB_[1, 1]	0.2552	0.2072	0.2375	0.5275	0.1599	0.4641	2.5753	0.2575	
BL_[1, 1]	0.2546	0.2300	0.2300	0.5000	0.1508	0.4605	2.5859	0.2586	
PF_[1, 1]	0.6621	0.4961	0.5092	0.7501	0.5694	0.5490	4.4850	0.4485	
Rand_[1, 1]	0.2546	0.0290	0.1012	0.5021	0.1515	0.2943	4.4805	0.4480	
nMMSBM_[1, 2]	0.2546	0.0497	0.1006	0.4998	0.1509	0.2928	4.5269	0.4527	
TF_[1, 2]	0.2546	0.0000	0.2300	0.4960	0.1485	0.4568	2.7018	0.2702	
NMF_[1, 2]	0.1329	0.0393	0.0593	0.5007	0.1531	0.1549	8.0869	0.8087	
KNN_[1, 2]	0.2578	0.1221	0.1899	0.5489	0.1679	0.3290	5.3280	0.5328	
NB_[1, 2]	0.2555	0.2187	0.2351	0.5308	0.1607	0.4619	2.5957	0.2596	
BL_[1, 2]	0.2546	0.2300	0.2300	0.5000	0.1508	0.4605	2.5859	0.2586	
PF_[1, 2]	0.9909	0.9818	0.9907	1.0000	0.9997	0.9908	0.0187	0.0019	
Rand_[1, 2]	0.2546	0.0292	0.1003	0.5011	0.1517	0.2936	4.4892	0.4489	
