	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 1, 1]	0.0009	0.0017	0.0017	0.0010	0.0013	0.0011	0.0060	0.0006	
TF_[1, 1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[1, 1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[1, 1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[1, 1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[1, 1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[1, 1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[1, 1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
