	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1, 1, 1]	0.2558, 0.2207, 0.2373, 0.5362, 0.1617, 0.4632, 2.5709, 0.2571, 
NMF_[1, 1, 1]	0.1127, 0.0289, 0.0483, 0.5005, 0.1529, 0.1406, 8.3195, 0.8319, 
PF_[1, 1, 1]	0.0608, 0.0310, 0.0515, 0.5156, 0.1754, 0.1281, 8.7168, 0.8717, 
TF_[1, 1, 1]	0.2547, 0.0000, 0.2238, 0.5039, 0.1513, 0.4549, 2.6363, 0.2636, 
BL_[1, 1, 1]	0.2547, 0.2286, 0.2286, 0.5000, 0.1507, 0.4598, 2.5735, 0.2574, 
nMMSBM_[1, 1, 1]	0.3905, 0.2074, 0.3441, 0.7602, 0.3305, 0.5708, 1.6526, 0.1653, 
KNN_[1, 1, 1]	0.2596, 0.1089, 0.1890, 0.5501, 0.1681, 0.3268, 5.2484, 0.5248, 
Rand_[1, 1, 1]	0.2547, 0.0288, 0.1005, 0.5010, 0.1509, 0.2937, 4.4845, 0.4484, 
