	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 1, 1]	47	0.3888	0.2082	0.3401	0.7591	0.3270	0.5686	1.6558	0.1656	
nMMSBM_[1, 1, 1]	48	0.3899	0.2054	0.3424	0.7587	0.3295	0.5697	1.6552	0.1655	
nMMSBM_[1, 1, 1]	49	0.3898	0.2068	0.3420	0.7585	0.3294	0.5696	1.6532	0.1653	
nMMSBM_[1, 1, 1]	50	0.3889	0.2070	0.3441	0.7582	0.3282	0.5705	1.6563	0.1656	
nMMSBM_[1, 1, 1]	51	0.3906	0.2063	0.3422	0.7590	0.3267	0.5701	1.6539	0.1654	
nMMSBM_[1, 1, 1]	52	0.3884	0.2070	0.3399	0.7593	0.3285	0.5686	1.6554	0.1655	
nMMSBM_[1, 1, 1]	53	0.3893	0.2069	0.3429	0.7586	0.3288	0.5696	1.6558	0.1656	
nMMSBM_[1, 1, 1]	54	0.3907	0.2090	0.3448	0.7602	0.3300	0.5714	1.6450	0.1645	
nMMSBM_[1, 1, 1]	55	0.3894	0.2095	0.3415	0.7602	0.3292	0.5697	1.6468	0.1647	
nMMSBM_[1, 1, 1]	56	0.3908	0.2111	0.3444	0.7594	0.3304	0.5710	1.6556	0.1656	
nMMSBM_[1, 1, 1]	57	0.3902	0.2068	0.3441	0.7598	0.3293	0.5707	1.6540	0.1654	
nMMSBM_[1, 1, 1]	58	0.3905	0.2064	0.3455	0.7590	0.3315	0.5713	1.6576	0.1658	
nMMSBM_[1, 1, 1]	59	0.3895	0.2065	0.3424	0.7599	0.3299	0.5699	1.6529	0.1653	
nMMSBM_[1, 1, 1]	60	0.3891	0.2111	0.3459	0.7598	0.3299	0.5715	1.6524	0.1652	
nMMSBM_[1, 1, 1]	61	0.3887	0.2041	0.3423	0.7570	0.3292	0.5688	1.6678	0.1668	
nMMSBM_[1, 1, 1]	62	0.3902	0.2056	0.3443	0.7602	0.3297	0.5710	1.6510	0.1651	
nMMSBM_[1, 1, 1]	63	0.3888	0.2072	0.3448	0.7593	0.3291	0.5708	1.6593	0.1659	
nMMSBM_[1, 1, 1]	64	0.3895	0.2095	0.3451	0.7601	0.3289	0.5709	1.6515	0.1651	
nMMSBM_[1, 1, 1]	65	0.3873	0.2062	0.3420	0.7575	0.3283	0.5685	1.6654	0.1665	
nMMSBM_[1, 1, 1]	66	0.3892	0.2068	0.3439	0.7599	0.3297	0.5708	1.6523	0.1652	
nMMSBM_[1, 1, 1]	67	0.3893	0.2053	0.3453	0.7610	0.3300	0.5716	1.6512	0.1651	
nMMSBM_[1, 1, 1]	68	0.3902	0.2070	0.3433	0.7601	0.3286	0.5709	1.6445	0.1644	
nMMSBM_[1, 1, 1]	69	0.3893	0.2046	0.3423	0.7586	0.3284	0.5698	1.6596	0.1660	
nMMSBM_[1, 1, 1]	70	0.3895	0.2053	0.3452	0.7586	0.3293	0.5707	1.6551	0.1655	
nMMSBM_[1, 1, 1]	71	0.3901	0.2093	0.3448	0.7593	0.3296	0.5716	1.6448	0.1645	
KNN_[1, 1, 1]	0	0.2596	0.1089	0.1890	0.5501	0.1681	0.3268	5.2484	0.5248	
Rand_[1, 1, 1]	0	0.2547	0.0271	0.0982	0.4974	0.1501	0.2910	4.5245	0.4525	
