	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1, 1]	0	0.2585	0.2141	0.2382	0.5377	0.1660	0.4664	2.5361	0.2536	
NMF_[1, 1]	0	0.0000	0.0000	0.0226	0.5000	0.1525	0.1000	9.0000	0.9000	
PF_[1, 1]	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
TF_[1, 1]	0	0.2570	0.1328	0.2348	0.5031	0.1541	0.4627	2.5734	0.2573	
BL_[1, 1]	0	0.2570	0.2349	0.2349	0.5000	0.1525	0.4647	2.5571	0.2557	
nMMSBM_[1, 1]	0	0.4016	0.2189	0.3567	0.7668	0.3415	0.5815	1.5862	0.1586	
nMMSBM_[1, 1]	1	0.3982	0.2223	0.3549	0.7660	0.3403	0.5794	1.6021	0.1602	
nMMSBM_[1, 1]	2	0.3991	0.2194	0.3584	0.7663	0.3408	0.5815	1.5910	0.1591	
nMMSBM_[1, 1]	3	0.4000	0.2169	0.3545	0.7668	0.3412	0.5801	1.6006	0.1601	
nMMSBM_[1, 1]	4	0.3985	0.2186	0.3539	0.7658	0.3364	0.5795	1.5947	0.1595	
nMMSBM_[1, 1]	5	0.3985	0.2232	0.3586	0.7674	0.3431	0.5822	1.5891	0.1589	
nMMSBM_[1, 1]	6	0.3989	0.2179	0.3580	0.7667	0.3410	0.5812	1.5947	0.1595	
nMMSBM_[1, 1]	7	0.3986	0.2224	0.3579	0.7670	0.3421	0.5808	1.6082	0.1608	
nMMSBM_[1, 1]	8	0.3990	0.2252	0.3605	0.7675	0.3436	0.5826	1.5866	0.1587	
nMMSBM_[1, 1]	9	0.3960	0.2200	0.3539	0.7641	0.3332	0.5791	1.6036	0.1604	
nMMSBM_[1, 1]	10	0.4019	0.2204	0.3589	0.7680	0.3433	0.5825	1.5849	0.1585	
nMMSBM_[1, 1]	11	0.3998	0.2210	0.3526	0.7656	0.3404	0.5788	1.5973	0.1597	
nMMSBM_[1, 1]	12	0.4006	0.2247	0.3581	0.7675	0.3438	0.5817	1.5886	0.1589	
nMMSBM_[1, 1]	13	0.4012	0.2160	0.3559	0.7691	0.3436	0.5817	1.5815	0.1581	
nMMSBM_[1, 1]	14	0.3980	0.2228	0.3553	0.7659	0.3387	0.5798	1.5970	0.1597	
nMMSBM_[1, 1]	15	0.3979	0.2198	0.3588	0.7659	0.3400	0.5808	1.6043	0.1604	
nMMSBM_[1, 1]	16	0.3987	0.2185	0.3541	0.7649	0.3397	0.5787	1.6052	0.1605	
nMMSBM_[1, 1]	17	0.3983	0.2186	0.3506	0.7664	0.3385	0.5778	1.5971	0.1597	
nMMSBM_[1, 1]	18	0.3976	0.2170	0.3512	0.7644	0.3363	0.5782	1.5972	0.1597	
nMMSBM_[1, 1]	19	0.4001	0.2202	0.3593	0.7663	0.3400	0.5831	1.5850	0.1585	
nMMSBM_[1, 1]	20	0.4001	0.2152	0.3551	0.7653	0.3397	0.5802	1.5972	0.1597	
nMMSBM_[1, 1]	21	0.4015	0.2199	0.3585	0.7690	0.3443	0.5828	1.5805	0.1580	
nMMSBM_[1, 1]	22	0.3998	0.2175	0.3517	0.7675	0.3401	0.5788	1.5876	0.1588	
nMMSBM_[1, 1]	23	0.4002	0.2175	0.3618	0.7663	0.3412	0.5831	1.5951	0.1595	
nMMSBM_[1, 1]	24	0.3979	0.2153	0.3513	0.7648	0.3366	0.5773	1.6133	0.1613	
nMMSBM_[1, 1]	25	0.4010	0.2212	0.3562	0.7678	0.3404	0.5811	1.5916	0.1592	
nMMSBM_[1, 1]	26	0.4004	0.2189	0.3550	0.7665	0.3413	0.5806	1.5843	0.1584	
nMMSBM_[1, 1]	27	0.3991	0.2145	0.3514	0.7659	0.3359	0.5789	1.5835	0.1584	
nMMSBM_[1, 1]	28	0.4006	0.2181	0.3588	0.7675	0.3423	0.5825	1.5896	0.1590	
nMMSBM_[1, 1]	29	0.4001	0.2139	0.3602	0.7661	0.3404	0.5830	1.5811	0.1581	
nMMSBM_[1, 1]	30	0.3973	0.2209	0.3525	0.7647	0.3358	0.5786	1.5916	0.1592	
nMMSBM_[1, 1]	31	0.3983	0.2247	0.3554	0.7674	0.3413	0.5804	1.5916	0.1592	
nMMSBM_[1, 1]	32	0.3971	0.2196	0.3553	0.7668	0.3387	0.5803	1.5877	0.1588	
nMMSBM_[1, 1]	33	0.4007	0.2168	0.3546	0.7653	0.3401	0.5805	1.5897	0.1590	
nMMSBM_[1, 1]	34	0.4023	0.2212	0.3562	0.7655	0.3418	0.5805	1.5973	0.1597	
nMMSBM_[1, 1]	35	0.4010	0.2201	0.3539	0.7673	0.3418	0.5797	1.5908	0.1591	
nMMSBM_[1, 1]	36	0.3990	0.2196	0.3564	0.7678	0.3428	0.5812	1.5922	0.1592	
nMMSBM_[1, 1]	37	0.3994	0.2190	0.3553	0.7660	0.3400	0.5799	1.5893	0.1589	
nMMSBM_[1, 1]	38	0.4003	0.2259	0.3589	0.7667	0.3417	0.5820	1.5927	0.1593	
nMMSBM_[1, 1]	39	0.3988	0.2212	0.3571	0.7649	0.3407	0.5809	1.6033	0.1603	
nMMSBM_[1, 1]	40	0.4006	0.2190	0.3529	0.7665	0.3409	0.5794	1.5840	0.1584	
nMMSBM_[1, 1]	41	0.3998	0.2206	0.3552	0.7670	0.3411	0.5800	1.5963	0.1596	
nMMSBM_[1, 1]	42	0.4001	0.2199	0.3545	0.7663	0.3398	0.5800	1.5881	0.1588	
nMMSBM_[1, 1]	43	0.3969	0.2170	0.3562	0.7644	0.3340	0.5797	1.6031	0.1603	
nMMSBM_[1, 1]	44	0.3977	0.2145	0.3508	0.7670	0.3376	0.5777	1.6006	0.1601	
nMMSBM_[1, 1]	45	0.3973	0.2188	0.3518	0.7654	0.3355	0.5784	1.5922	0.1592	
nMMSBM_[1, 1]	46	0.4015	0.2228	0.3594	0.7676	0.3441	0.5826	1.5883	0.1588	
nMMSBM_[1, 1]	47	0.3998	0.2239	0.3578	0.7673	0.3417	0.5817	1.5866	0.1587	
nMMSBM_[1, 1]	48	0.3997	0.2218	0.3527	0.7657	0.3391	0.5778	1.6010	0.1601	
nMMSBM_[1, 1]	49	0.3997	0.2178	0.3561	0.7660	0.3419	0.5806	1.5988	0.1599	
nMMSBM_[1, 1]	50	0.3997	0.2213	0.3576	0.7672	0.3423	0.5819	1.5829	0.1583	
nMMSBM_[1, 1]	51	0.3994	0.2157	0.3537	0.7654	0.3381	0.5797	1.5883	0.1588	
nMMSBM_[1, 1]	52	0.4023	0.2202	0.3583	0.7668	0.3437	0.5827	1.5827	0.1583	
nMMSBM_[1, 1]	53	0.4009	0.2178	0.3568	0.7684	0.3449	0.5820	1.5854	0.1585	
nMMSBM_[1, 1]	54	0.3973	0.2171	0.3526	0.7652	0.3390	0.5784	1.6013	0.1601	
nMMSBM_[1, 1]	55	0.4021	0.2223	0.3603	0.7680	0.3450	0.5837	1.5826	0.1583	
nMMSBM_[1, 1]	56	0.3949	0.2179	0.3522	0.7643	0.3355	0.5769	1.6166	0.1617	
nMMSBM_[1, 1]	57	0.4010	0.2186	0.3573	0.7670	0.3420	0.5816	1.5927	0.1593	
nMMSBM_[1, 1]	58	0.3971	0.2185	0.3542	0.7663	0.3405	0.5794	1.5947	0.1595	
nMMSBM_[1, 1]	59	0.4009	0.2223	0.3575	0.7668	0.3423	0.5822	1.5788	0.1579	
nMMSBM_[1, 1]	60	0.3997	0.2168	0.3587	0.7674	0.3436	0.5821	1.5895	0.1590	
nMMSBM_[1, 1]	61	0.3991	0.2246	0.3565	0.7663	0.3420	0.5808	1.5913	0.1591	
nMMSBM_[1, 1]	62	0.4012	0.2226	0.3588	0.7679	0.3424	0.5834	1.5779	0.1578	
