	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 1]	0.3995	0.2196	0.3558	0.7665	0.3406	0.5805	1.5925	0.1593	
TF_[1, 1]	0.2570	0.1328	0.2348	0.5031	0.1541	0.4627	2.5734	0.2573	
NMF_[1, 1]	0.0000	0.0000	0.0226	0.5000	0.1525	0.1000	9.0000	0.9000	
KNN_[1, 1]	0.2668	0.1415	0.2002	0.5558	0.1735	0.3308	4.8339	0.4834	
NB_[1, 1]	0.2585	0.2141	0.2382	0.5377	0.1660	0.4664	2.5361	0.2536	
BL_[1, 1]	0.2570	0.2349	0.2349	0.5000	0.1525	0.4647	2.5571	0.2557	
PF_[1, 1]	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
Rand_[1, 1]	0.2570	0.0282	0.0990	0.4979	0.1526	0.2918	4.5203	0.4520	
