	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1, 1]	0	0.6834	0.6427	0.6427	0.6369	0.6205	0.8214	0.3573	0.1786	
NMF_[1, 1]	0	0.7050	0.6727	0.6727	0.7090	0.7072	0.8363	0.3273	0.1637	
PF_[1, 1]	0	0.7815	0.6976	0.7682	0.8494	0.8389	0.8510	0.2979	0.1490	
TF_[1, 1]	0	0.6775	0.5953	0.5953	0.5714	0.5763	0.7976	0.4047	0.2024	
BL_[1, 1]	0	0.6775	0.5953	0.5953	0.5000	0.5181	0.7976	0.4047	0.2024	
nMMSBM_[1, 1]	0	0.7010	0.6676	0.6676	0.7047	0.6995	0.8338	0.3324	0.1662	
nMMSBM_[1, 1]	1	0.7040	0.6670	0.6670	0.7034	0.7000	0.8335	0.3330	0.1665	
nMMSBM_[1, 1]	2	0.7007	0.6693	0.6693	0.7047	0.7002	0.8347	0.3307	0.1653	
nMMSBM_[1, 1]	3	0.7029	0.6716	0.6716	0.7024	0.7035	0.8358	0.3284	0.1642	
nMMSBM_[1, 1]	4	0.7035	0.6716	0.6716	0.7069	0.7053	0.8358	0.3284	0.1642	
nMMSBM_[1, 1]	5	0.7043	0.6659	0.6659	0.7051	0.7040	0.8330	0.3341	0.1670	
nMMSBM_[1, 1]	6	0.7037	0.6699	0.6699	0.7040	0.7033	0.8349	0.3301	0.1651	
nMMSBM_[1, 1]	7	0.7036	0.6704	0.6704	0.7058	0.7028	0.8352	0.3296	0.1648	
nMMSBM_[1, 1]	8	0.7043	0.6721	0.6721	0.7073	0.7034	0.8361	0.3279	0.1639	
nMMSBM_[1, 1]	9	0.7040	0.6721	0.6721	0.7044	0.7000	0.8361	0.3279	0.1639	
nMMSBM_[1, 1]	10	0.7029	0.6682	0.6682	0.7054	0.7005	0.8341	0.3318	0.1659	
nMMSBM_[1, 1]	11	0.7029	0.6648	0.6648	0.7029	0.7022	0.8324	0.3352	0.1676	
nMMSBM_[1, 1]	12	0.7056	0.6710	0.6710	0.7040	0.7023	0.8355	0.3290	0.1645	
nMMSBM_[1, 1]	13	0.7043	0.6755	0.6755	0.7082	0.7072	0.8378	0.3245	0.1622	
nMMSBM_[1, 1]	14	0.7048	0.6716	0.6716	0.7053	0.7011	0.8358	0.3284	0.1642	
nMMSBM_[1, 1]	15	0.7028	0.6716	0.6716	0.7087	0.7039	0.8358	0.3284	0.1642	
nMMSBM_[1, 1]	16	0.7019	0.6653	0.6653	0.7056	0.7021	0.8327	0.3347	0.1673	
nMMSBM_[1, 1]	17	0.7018	0.6704	0.6704	0.7045	0.7004	0.8352	0.3296	0.1648	
nMMSBM_[1, 1]	18	0.7022	0.6659	0.6659	0.7032	0.6996	0.8330	0.3341	0.1670	
nMMSBM_[1, 1]	19	0.7024	0.6693	0.6693	0.7064	0.7056	0.8347	0.3307	0.1653	
nMMSBM_[1, 1]	20	0.7049	0.6710	0.6710	0.7069	0.7000	0.8355	0.3290	0.1645	
nMMSBM_[1, 1]	21	0.7032	0.6704	0.6704	0.7060	0.7050	0.8352	0.3296	0.1648	
nMMSBM_[1, 1]	22	0.7007	0.6676	0.6676	0.7032	0.7009	0.8338	0.3324	0.1662	
nMMSBM_[1, 1]	23	0.7039	0.6772	0.6772	0.7061	0.6991	0.8386	0.3228	0.1614	
nMMSBM_[1, 1]	24	0.7025	0.6676	0.6676	0.7034	0.7028	0.8338	0.3324	0.1662	
nMMSBM_[1, 1]	25	0.7040	0.6687	0.6687	0.7067	0.7042	0.8344	0.3313	0.1656	
nMMSBM_[1, 1]	26	0.7020	0.6761	0.6761	0.7049	0.7019	0.8380	0.3239	0.1620	
nMMSBM_[1, 1]	27	0.7037	0.6687	0.6687	0.7058	0.7009	0.8344	0.3313	0.1656	
nMMSBM_[1, 1]	28	0.7035	0.6687	0.6687	0.7061	0.7034	0.8344	0.3313	0.1656	
nMMSBM_[1, 1]	29	0.7017	0.6693	0.6693	0.7045	0.6997	0.8347	0.3307	0.1653	
nMMSBM_[1, 1]	30	0.7019	0.6710	0.6710	0.7067	0.7031	0.8355	0.3290	0.1645	
nMMSBM_[1, 1]	31	0.7044	0.6693	0.6693	0.7058	0.7020	0.8347	0.3307	0.1653	
nMMSBM_[1, 1]	32	0.7014	0.6710	0.6710	0.7043	0.7002	0.8355	0.3290	0.1645	
nMMSBM_[1, 1]	33	0.7033	0.6653	0.6653	0.7018	0.6993	0.8327	0.3347	0.1673	
nMMSBM_[1, 1]	34	0.7034	0.6682	0.6682	0.7011	0.6967	0.8341	0.3318	0.1659	
nMMSBM_[1, 1]	35	0.7044	0.6693	0.6693	0.7035	0.6997	0.8347	0.3307	0.1653	
nMMSBM_[1, 1]	36	0.7043	0.6699	0.6699	0.7062	0.7034	0.8349	0.3301	0.1651	
nMMSBM_[1, 1]	37	0.7020	0.6631	0.6631	0.6979	0.6971	0.8315	0.3369	0.1685	
nMMSBM_[1, 1]	38	0.7029	0.6738	0.6738	0.7053	0.7018	0.8369	0.3262	0.1631	
nMMSBM_[1, 1]	39	0.7047	0.6687	0.6687	0.7068	0.7035	0.8344	0.3313	0.1656	
nMMSBM_[1, 1]	40	0.7029	0.6750	0.6750	0.7075	0.7022	0.8375	0.3250	0.1625	
nMMSBM_[1, 1]	41	0.7041	0.6733	0.6733	0.7047	0.7025	0.8366	0.3267	0.1634	
nMMSBM_[1, 1]	42	0.7058	0.6704	0.6704	0.7042	0.7029	0.8352	0.3296	0.1648	
nMMSBM_[1, 1]	43	0.7019	0.6716	0.6716	0.7076	0.7044	0.8358	0.3284	0.1642	
nMMSBM_[1, 1]	44	0.7031	0.6716	0.6716	0.7049	0.7020	0.8358	0.3284	0.1642	
nMMSBM_[1, 1]	45	0.7031	0.6648	0.6648	0.6988	0.6946	0.8324	0.3352	0.1676	
nMMSBM_[1, 1]	46	0.7019	0.6738	0.6738	0.7050	0.7023	0.8369	0.3262	0.1631	
nMMSBM_[1, 1]	47	0.7017	0.6670	0.6670	0.7030	0.6969	0.8335	0.3330	0.1665	
nMMSBM_[1, 1]	48	0.7050	0.6716	0.6716	0.7047	0.7004	0.8358	0.3284	0.1642	
nMMSBM_[1, 1]	49	0.7039	0.6704	0.6704	0.7046	0.6992	0.8352	0.3296	0.1648	
nMMSBM_[1, 1]	50	0.7012	0.6699	0.6699	0.7056	0.7004	0.8349	0.3301	0.1651	
nMMSBM_[1, 1]	51	0.7020	0.6693	0.6693	0.7041	0.7011	0.8347	0.3307	0.1653	
nMMSBM_[1, 1]	52	0.7026	0.6591	0.6591	0.7011	0.6987	0.8296	0.3409	0.1704	
nMMSBM_[1, 1]	53	0.7022	0.6716	0.6716	0.7062	0.7060	0.8358	0.3284	0.1642	
nMMSBM_[1, 1]	54	0.7014	0.6750	0.6750	0.7058	0.7028	0.8375	0.3250	0.1625	
nMMSBM_[1, 1]	55	0.7034	0.6699	0.6699	0.7075	0.7050	0.8349	0.3301	0.1651	
nMMSBM_[1, 1]	56	0.7029	0.6772	0.6772	0.7079	0.7050	0.8386	0.3228	0.1614	
nMMSBM_[1, 1]	57	0.7028	0.6716	0.6716	0.7055	0.7034	0.8358	0.3284	0.1642	
nMMSBM_[1, 1]	58	0.7030	0.6721	0.6721	0.7036	0.6991	0.8361	0.3279	0.1639	
nMMSBM_[1, 1]	59	0.7032	0.6704	0.6704	0.7055	0.7023	0.8352	0.3296	0.1648	
nMMSBM_[1, 1]	60	0.7039	0.6704	0.6704	0.7051	0.7040	0.8352	0.3296	0.1648	
nMMSBM_[1, 1]	61	0.7026	0.6727	0.6727	0.7060	0.7036	0.8363	0.3273	0.1637	
nMMSBM_[1, 1]	62	0.7039	0.6676	0.6676	0.7036	0.7025	0.8338	0.3324	0.1662	
nMMSBM_[1, 1]	63	0.7036	0.6665	0.6665	0.7038	0.7001	0.8332	0.3335	0.1668	
nMMSBM_[1, 1]	64	0.7046	0.6682	0.6682	0.7050	0.7008	0.8341	0.3318	0.1659	
nMMSBM_[1, 1]	65	0.7034	0.6676	0.6676	0.7038	0.7019	0.8338	0.3324	0.1662	
nMMSBM_[1, 1]	66	0.7024	0.6676	0.6676	0.7066	0.7022	0.8338	0.3324	0.1662	
